epoch,train_loss,valid_loss,lr,train_accuracy,train_error,valid_accuracy,valid_error
0.0,577.3522764789627,26157.234085160202,0.001,70.0917227291188,29.908277210242947,-172.40740849421576,272.40740837684046
1.0,375.96287815323797,654.6398844028547,0.001,73.57304610912051,26.42695385229151,57.66426268357497,42.335737448472244
2.0,277.7221434811512,531.6538722314654,0.001,76.3579076057684,23.642092636784607,61.410547814002406,38.58945262615497
3.0,252.6589199939406,321.4165124932245,0.001,77.13300819617476,22.866991805662767,70.95390774653508,29.046092400184044
4.0,241.28283228127353,240.75786766837058,0.001,77.2349157903006,22.765083924883363,75.70720038780799,24.292799934974084
5.0,238.24342260153898,215.7496547565722,0.001,77.42707623314536,22.572923891806187,78.0033690232497,21.99663068331205
6.0,220.338435735128,230.2496902219533,0.001,78.12682371929661,21.873176525093918,77.29289832481972,22.70710132305439
7.0,217.48731139401355,216.56379092810843,0.001,78.22150368221922,21.778496303080594,76.66487825833835,23.33512163895827
8.0,232.8067512530591,206.46328603753238,0.001,77.53648871125972,22.463511601119144,78.149546285776,21.85045312001155
9.0,207.80495085566878,246.3067062624217,0.001,78.28653863307828,21.713461662762885,76.21900402949406,23.78099611722506
10.0,204.0887158423734,194.76977721388673,0.001,78.5658676794269,21.43413213682083,79.14244302602914,20.85755712068998
11.0,193.68941140783838,251.08066392134427,0.001,79.16255207098519,20.83744757069788,76.10129960867074,23.898700229938214
12.0,193.01955901731927,203.29710449571638,0.001,79.00072499828302,20.999275071542847,77.9544808607835,22.04551952802218
13.0,197.6570266539792,190.08559937317438,0.001,79.06432028680408,20.93567978669683,79.71261937068059,20.287380864070013
14.0,193.43186555058122,179.31409570688916,0.001,78.93881879744043,21.061181342211302,80.02802517230694,19.97197488638071
15.0,189.43013063729526,217.32781269291286,0.001,79.21829470595873,20.781705464930894,77.45788612365723,22.542114052405726
16.0,175.71261787874153,170.14496383354538,0.001,79.84410358348104,20.155896570870873,80.92237167358398,19.07762839243962
17.0,183.14130605674652,172.15206981963118,0.001,79.49808562468013,20.50191441207033,80.57975962712214,19.420240871722882
18.0,168.61938161826995,167.10168521727633,0.001,80.19363003475358,19.806369869695235,80.5662950369028,19.433705021784856
19.0,158.40527523178653,181.75241890955306,0.001,80.60451682500526,19.39548301513025,79.01505044790414,20.98494979418241
20.0,156.18717519001788,165.0002783708933,0.001,80.8053948139639,19.19460528893737,81.16817879310021,18.8318219771752
21.0,154.62945241169757,191.06075202135028,0.001,80.8365256248871,19.163474244648782,79.43213794414814,20.56786166704618
22.0,153.4456881235881,192.98858138240408,0.001,80.84365471341935,19.15634520205459,78.43274189875676,21.567258174602802
23.0,152.69410197430346,229.3109371118217,0.001,80.95546579820342,19.044534109920434,76.10741489116963,23.892585490300107
24.0,146.67613812917688,248.5756786532989,0.001,81.21733324054578,18.782667002007223,74.25746612548828,25.74253416794997
25.0,142.9563329636907,168.56851391113398,0.001,81.473852095117,18.526147939795933,80.50722814706656,19.49277168420645
26.0,136.28244840690888,242.1236488454401,0.001,81.74228352158974,18.257716399396774,75.63747479365422,24.362525132986214
27.0,137.33725015295556,168.96309794750135,0.001,81.71215307276144,18.28784695663893,80.6008555485652,19.399144671513483
28.0,136.2118886336361,219.5981464721415,0.001,81.77998809226446,18.220012102512953,77.1079573411208,22.892042680887077
29.0,122.06637871799698,167.32917937460476,0.0001,82.6962031252352,17.3037968104515,81.5962891798753,18.403710864140436
30.0,117.1672722285627,161.8208323060332,0.0001,82.90404313515606,17.09595711107199,81.91541037926307,18.084589239267203
31.0,115.39182537032897,170.5022671377191,0.0001,83.025320490431,16.974679469143496,81.38526141826924,18.61473847902738
32.0,115.41831821671451,161.1568940819042,0.0001,82.96865634513958,17.031343783487014,81.99823232797476,18.001767965463493
33.0,114.88324254782803,167.95262360302863,0.0001,83.0841346843624,16.915865293587334,81.44426439725436,18.555735257955696
34.0,114.39926415133189,167.06058528112578,0.0001,83.03273277797221,16.967267449880612,81.28644215510441,18.71355830706083
35.0,113.22556203083819,168.35079590667158,0.0001,83.09197368879079,16.908026173394997,81.5316189105694,18.46838120680589
36.0,110.82366423457502,171.49851383585093,0.0001,83.29204690157793,16.70795296428291,80.94139791635367,19.0586017535283
37.0,110.06453539009554,167.0600168645827,0.0001,83.32822628425495,16.67177378373339,81.52633807842548,18.473662743201622
38.0,109.25644195924322,164.1601646899373,0.0001,83.36086631877804,16.639133828223784,81.71635536780724,18.28364477157593
39.0,110.65775543948254,164.47034797126258,0.0001,83.3423856613953,16.6576146693588,81.8564587519719,18.143541093973013
40.0,109.46142696886177,169.72409992038817,0.0001,83.41374823950619,16.586251729255928,81.34596111591046,18.65403930957501
41.0,107.60990507194795,170.6427324258744,1e-05,83.51791054021876,16.482089491019128,81.07539373544546,18.92460695413443
42.0,104.87382590420275,170.50812180752754,1e-05,83.62880521564814,16.371194868877904,81.08534052922175,18.914659800896278
43.0,106.8248585308029,172.07673044004832,1e-05,83.58969908550755,16.410301201146,80.9801881643442,19.01981157889733
44.0,108.64263218155827,170.133773535368,1e-05,83.46637311284941,16.53362699188938,81.20986645038312,18.7901336816641
45.0,107.4483931796522,170.5454713531472,1e-05,83.61176788094875,16.388232223790045,81.21097969642052,18.78902023755587
46.0,104.71416881883,170.3213957527177,1e-05,83.70042645816399,16.29957367965022,81.23085426917443,18.769146170982946
47.0,106.65014344732445,169.87424634594828,1e-05,83.51100749638728,16.488992668989766,81.25674849290114,18.74325168316181
48.0,106.4367319203572,170.60505875137392,1e-05,83.57702020781119,16.422979970428525,81.35561793400691,18.644381420428935
49.0,106.7180172030897,171.85914326931763,1.0000000000000002e-06,83.63582788956188,16.364172307053053,81.15872391920823,18.841276117471548
50.0,105.947188161827,170.9167947753083,1.0000000000000002e-06,83.62286080009446,16.377139317506998,81.27991063044621,18.720089802375206
51.0,104.11401208349021,171.48818067653127,1.0000000000000002e-06,83.77971112613274,16.2202890704822,81.18588614830604,18.814113939725434
52.0,105.62768417174557,170.6398331456746,1.0000000000000002e-06,83.602857292043,16.397142465404002,81.28227063692533,18.71772918701172
53.0,107.86918390113188,170.9293124668284,1.0000000000000002e-06,83.4957383289962,16.504261652628582,81.26540820782002,18.73459166746873
54.0,106.78200359666204,171.04142985829844,1.0000000000000002e-06,83.59276451448945,16.40723519334444,81.20816844059871,18.79183160341703
55.0,104.60383233863188,170.4909492700366,1.0000000000000002e-06,83.69715872527547,16.302841357413055,81.2667973445012,18.733202838897704
56.0,105.65240855021649,171.1888428322524,1.0000000000000002e-06,83.75561122122528,16.244388885351047,81.23032091580905,18.769679318941556
57.0,105.11194974232869,170.99926337286007,1.0000000000000002e-07,83.66642230553893,16.333577718348863,81.22212219238281,18.777878145071178
58.0,107.27510478927428,170.71215402726753,1.0000000000000002e-07,83.54617087597562,16.45382918466263,81.27151782696063,18.728482231727014
59.0,106.43216922989811,170.8538600744267,1.0000000000000002e-07,83.60266454325476,16.397335432857446,81.22726170466497,18.772738324678862
60.0,107.28625421363188,170.42309958490802,1.0000000000000002e-07,83.62516846408734,16.374831657189166,81.30482641366812,18.695174004481387
61.0,105.64616818347609,171.38660509021733,1.0000000000000002e-07,83.68776720521078,16.312232803976833,81.19673115656926,18.80326872605544
62.0,105.82675422392695,170.2882436790457,1.0000000000000002e-07,83.63939196342218,16.360607917138836,81.29556198120117,18.70443809215839
63.0,105.539105231963,169.5358984351474,1.0000000000000002e-07,83.59043093407544,16.409568893197413,81.39215410672702,18.6078461426955
64.0,106.94248043198183,171.5831424103849,1.0000000000000002e-07,83.61835056371082,16.381649478552198,81.16602742121769,18.833972197312576
