epoch,train_loss,valid_loss,lr,train_accuracy,train_error,valid_accuracy,valid_error
0.0,188.42981859322055,154.18769594181936,0.001,81.5079856901959,18.4920141481021,83.20401247464693,16.795987114539514
1.0,163.3250386874647,165.99523402328694,0.001,81.96284215849948,18.037157760649517,82.39266944298377,17.60733025624202
2.0,157.51802859386765,147.81220421989806,0.001,82.0594403481897,17.940559502970967,83.20394739004281,16.79605283003587
3.0,161.93845417804027,184.37981508714955,0.001,82.06692809911591,17.9330717005941,81.32450455885667,18.675495580526498
4.0,150.66268286279885,146.61506237084248,0.001,82.29272178694004,17.707278095458513,83.73393883338342,16.2660609465379
5.0,143.0005860478045,147.32506230261723,0.001,82.55883725851717,17.44116273229522,83.69368943434495,16.306310470287617
6.0,154.67399651584856,156.21653576627807,0.001,82.35855444318297,17.641445674418485,83.53261114267202,16.467389378180872
7.0,142.1606351847821,189.96372923716612,0.001,82.64554215947557,17.354457800098928,81.0938005887545,18.906199565300575
8.0,141.6946529452772,149.11055118025024,0.001,82.61659464165425,17.383405279332273,82.77835810734676,17.221641437823955
9.0,140.3570953001459,160.83885433644565,0.001,82.73058360252307,17.269416494865638,81.76512022752028,18.234880623450646
10.0,142.1212941438606,144.0641723132886,0.001,82.6083608197339,17.391639288679944,83.32625415508564,16.673746072329006
11.0,143.69496921769107,138.68847376879253,0.001,82.8055103867959,17.194489793281335,83.49650051410381,16.503499339177058
12.0,136.7701456239999,165.4428168958252,0.001,82.98047692330127,17.019522975634978,81.79056983360877,18.20943032044631
13.0,133.1755696492023,145.11576153289494,0.001,83.03150925241223,16.96849064836153,82.6883160517766,17.31168396289532
14.0,137.22893341432135,146.27062167813477,0.001,82.99567417740133,17.004325855674082,82.93967895507812,17.060320553412804
15.0,127.77386420192488,157.5991098895127,0.001,83.11508970315745,16.884910070827242,82.07291154127854,17.927088840191182
16.0,122.78160494517131,150.51459565113262,0.001,83.27905727673128,16.720942534003875,83.08063131479116,16.919368406442494
17.0,119.83399013657167,146.4356003083312,0.001,83.47398399985136,16.52601613612533,83.21831976083608,16.781679806342492
18.0,137.3291078572101,133.7204172552077,0.001,83.11970844893557,16.880291744004325,83.93440176156851,16.065597974337063
19.0,122.81012839443713,134.27790207978876,0.001,83.26645631000027,16.733543563210667,83.61478024996244,16.385219654670127
20.0,119.72083561541086,153.90546579161082,0.001,83.48213823498558,16.517861790739733,82.80103055513823,17.198969848339374
21.0,127.7794827527885,143.9725287981247,0.001,83.4120379321148,16.587961863920178,82.97091950636644,17.029080361586352
22.0,117.160792559888,134.9234276837942,0.001,83.66610416419704,16.333895828452874,83.87575935950646,16.12424081655649
23.0,121.29148258071348,130.71481454840512,0.001,83.4558840624859,16.544116020202637,84.13601620013897,15.863984019939716
24.0,123.8719492128671,184.71141816472124,0.001,83.52239369886689,16.477606576761527,80.71747729961689,19.282522839766283
25.0,114.98129168039345,146.11125839994315,0.001,83.57479903969002,16.425200824333295,83.17366673396184,16.82633336140559
26.0,114.69370299557606,148.11477938298,0.001,83.64695192899318,16.353048201470937,82.52058123075045,17.479418695889986
27.0,118.32661241646272,134.5141876228055,0.001,83.48342861697394,16.516571204786356,83.37222196138822,16.627777407719538
28.0,122.28683459178511,152.08935576282448,0.001,83.63626494067712,16.36373490680849,82.03010476919322,17.969895377525916
29.0,117.40636962155261,133.89656786274205,0.001,83.72281820190665,16.27718182381867,84.0617904663086,15.938209709754357
30.0,135.55480544492423,132.92449311559903,0.001,83.44275810815006,16.557242068252123,84.16591656024639,15.834083813887377
31.0,113.98747130612293,134.96659643384123,0.001,83.74187384221365,16.25812602915975,83.6361419090858,16.363857555389405
32.0,111.76548965637943,140.63755962653954,0.0001,83.89754080358958,16.10245919824795,84.34536972045899,15.654630749042218
33.0,109.69973577292569,140.04118310041068,0.0001,84.09292173293744,15.907078397526677,84.38828236506535,15.611717436863826
34.0,106.43609802246094,140.33432564842244,0.0001,84.02273149435231,15.977268275957346,84.34644247201773,15.653557586669923
35.0,108.40038447000894,139.92261577358994,0.0001,83.97860429649867,16.021395492186205,84.3245380108173,15.675461967174824
36.0,112.62803150222962,142.44553876089722,0.0001,84.03038305675823,15.969616915678932,84.20634372417743,15.793657119457539
37.0,106.20134914903755,140.56917634328514,0.0001,84.08441009227481,15.915589784611168,84.26009920560396,15.739900867755596
38.0,110.70455321530261,145.35164819330055,0.0001,84.02751483071975,15.972485253806289,84.18156251173752,15.818438023787278
39.0,111.58078486798757,141.42113507922602,0.0001,84.04249672715144,15.957503120334163,84.26856795090896,15.731431887700008
40.0,106.12118085010943,143.3516179330376,1e-05,84.18477729106455,15.815222837562047,84.22111006516677,15.778889788114107
41.0,106.57546343332314,142.92666779630474,1e-05,84.1507537929998,15.849246089398745,84.24145155686598,15.758548274407019
42.0,106.8164981630624,144.1074171109936,1e-05,84.20819603363213,15.791803835903748,84.21171974769005,15.788280149606559
43.0,109.22311920533697,144.22919137872464,1e-05,84.14965527778875,15.850344374919443,84.22135760967548,15.778642111558181
44.0,113.03066312123494,143.33428483088602,1e-05,84.1036665811704,15.896333334303545,84.22842289851262,15.771577145503118
45.0,107.0098193359375,143.61842743559535,1e-05,84.25120181339095,15.74879835749867,84.22347265390249,15.776527272737944
46.0,109.54532361869353,143.32348359323242,1e-05,84.0248376482484,15.975162167999326,84.2321640601525,15.767836211277888
47.0,109.61311906561794,142.15001915012948,1e-05,84.21626550751614,15.783734194805167,84.22763865544246,15.77236121251033
48.0,104.7032523722821,142.56083427397954,1.0000000000000002e-06,84.10350940682295,15.896490497625862,84.22446388831506,15.775536265740028
49.0,104.7878367816971,142.4993367150329,1.0000000000000002e-06,84.14739725631097,15.852602602199783,84.21013729388898,15.789862515376164
50.0,106.99649981027626,143.74883428880088,1.0000000000000002e-06,84.15796643736735,15.842033375205332,84.17496467003456,15.825035814138559
51.0,106.98927384342056,143.6643139630793,1.0000000000000002e-06,84.11874651311679,15.881253422569907,84.20965224045973,15.79034816301786
52.0,112.23216004888695,142.16405414828506,1.0000000000000002e-06,84.0810426774512,15.918957094695987,84.23914419320913,15.760855498680701
53.0,106.37301469917757,144.24417470823107,1.0000000000000002e-06,84.11418247406652,15.8858176490475,84.17705882145809,15.822940958463228
54.0,106.83298216302711,143.77845811579664,1.0000000000000002e-06,84.17082342247053,15.82917658671708,84.19217863816482,15.80782121511606
55.0,111.91450569244752,143.14914421976633,1.0000000000000002e-06,84.10255846674043,15.89744147813389,84.18448674128605,15.815512833228478
56.0,108.46942258536097,143.09435888119015,1.0000000000000002e-07,84.1270429284127,15.872957088125005,84.1893419119028,15.810658674973707
57.0,107.35884477362575,144.47127730540268,1.0000000000000002e-07,84.14220321155467,15.857796646956075,84.16520086435172,15.834799377734845
58.0,106.20363163224185,143.87784817005692,1.0000000000000002e-07,84.16413313437519,15.835867148603318,84.1765285198505,15.823471392118014
59.0,105.51039885003883,144.61290868705396,1.0000000000000002e-07,84.17603772407782,15.823962356773185,84.17739574725812,15.822604106022762
60.0,106.73815958781415,143.4396379508044,1.0000000000000002e-07,84.11537088089136,15.884629065820477,84.20171678983249,15.7982834815979
61.0,106.64808423881071,143.35814188693237,1.0000000000000002e-07,84.12888425852752,15.871115592633139,84.21641076894907,15.783589825263391
62.0,102.80501297916274,142.82953614575177,1.0000000000000002e-07,84.26246691577008,15.73753312649295,84.20899165226864,15.79100823035607
63.0,106.77198760618647,144.12106393084875,1.0000000000000002e-07,84.2488793904152,15.751120484633253,84.16983261108399,15.830167352236234
